MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LandContour,LotConfig,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,WoodDeckSF,OpenPorchSF,EnclosedPorch,MoSold,YrSold,SaleType,SaleCondition,SalePrice
30,RM,40.0,3880,Reg,Lvl,Inside,OldTown,Norm,1Fam,1Story,5,9,1945,1997,Gable,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,No,ALQ,329,Unf,0,357,686,Gd,866,0,866,0,1,0,2,Gd,4,0,Attchd,2005.0,Unf,0,0,TA,58,42,0,8,2007,WD,Normal,110500
50,RM,63.0,5000,Reg,Lvl,Corner,OldTown,Norm,1Fam,1.5Fin,5,4,1900,1950,Gable,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,540,540,Gd,889,551,1440,0,1,0,3,TA,6,0,Attchd,1940.0,Unf,1,352,Fa,0,0,77,4,2006,WD,Normal,79000
160,RL,75.0,10762,Reg,Lvl,Corner,SawyerW,Norm,TwnhsE,2Story,6,6,1980,1980,Gable,Plywood,Plywood,None,0.0,TA,TA,CBlock,Gd,TA,No,Unf,0,Unf,0,626,626,TA,626,591,1217,0,1,1,3,TA,6,1,Attchd,1980.0,RFn,1,288,TA,0,28,0,4,2009,WD,Normal,120000
60,RL,70.04995836802665,8880,IR1,Lvl,Inside,SawyerW,Norm,1Fam,2Story,7,5,1994,2002,Gable,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,695,Unf,0,253,948,Ex,1222,888,2110,1,2,1,3,Gd,8,2,Attchd,1994.0,RFn,2,463,TA,0,130,0,5,2010,WD,Normal,205000
20,RL,80.0,10400,Reg,Lvl,Inside,NWAmes,Norm,1Fam,1Story,7,5,1988,1988,Gable,Wd Sdng,Wd Sdng,BrkFace,102.0,TA,TA,CBlock,Gd,TA,Av,GLQ,929,Unf,0,916,1845,Gd,1872,0,1872,0,2,0,3,TA,6,1,Attchd,1988.0,Fin,2,604,TA,197,39,0,6,2006,WD,Normal,241500
190,RM,69.0,9142,Reg,Lvl,Inside,OldTown,Norm,2fmCon,2Story,6,8,1910,1950,Gable,AsbShng,AsbShng,None,0.0,TA,Fa,Stone,Fa,TA,No,Unf,0,Unf,0,1020,1020,Gd,908,1020,1928,0,2,0,4,Fa,9,0,Detchd,1910.0,Unf,1,440,Po,0,60,112,4,2006,WD,Normal,137000
20,RL,75.0,11310,Reg,Lvl,Inside,NAmes,Norm,1Fam,1Story,6,5,1954,1954,Hip,Wd Sdng,BrkFace,None,0.0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,1367,1367,Ex,1375,0,1375,0,1,0,2,TA,5,1,Attchd,1954.0,Unf,2,451,TA,0,30,0,6,2006,WD,Normal,140000
60,RL,72.0,11317,Reg,Lvl,Inside,CollgCr,Norm,1Fam,2Story,7,5,2003,2003,Gable,VinylSd,VinylSd,BrkFace,101.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,840,840,Ex,840,828,1668,0,2,1,3,Gd,8,0,Attchd,2003.0,RFn,2,500,TA,144,68,0,9,2007,WD,Normal,180000
50,RL,70.04995836802665,159000,IR2,Low,CulDSac,ClearCr,Norm,1Fam,1.5Fin,6,7,1958,2006,Gable,Wd Sdng,HdBoard,BrkCmn,472.0,Gd,TA,CBlock,Gd,TA,Gd,Rec,697,Unf,0,747,1444,Gd,1444,700,2144,0,2,0,4,Gd,7,2,Attchd,1958.0,Fin,2,389,TA,0,98,0,6,2007,WD,Normal,277000
30,RL,55.0,5350,IR1,Lvl,Inside,BrkSide,Norm,1Fam,1Story,3,2,1940,1966,Gable,Wd Sdng,Plywood,None,0.0,TA,Po,CBlock,TA,TA,No,Unf,0,Unf,0,728,728,Ex,1306,0,1306,0,1,0,3,Fa,6,0,Attchd,2005.0,Unf,0,0,TA,263,0,0,5,2010,WD,Normal,76500
120,RM,44.0,4750,IR1,HLS,Inside,Crawfor,Norm,TwnhsE,1Story,8,5,2006,2007,Hip,VinylSd,VinylSd,Stone,481.0,Gd,TA,PConc,Gd,TA,Gd,GLQ,1573,Unf,0,0,1573,Ex,1625,0,1625,1,2,0,2,Gd,5,1,Attchd,2006.0,Fin,2,538,TA,123,0,0,12,2007,WD,Family,235000
60,RL,65.0,8366,IR1,Lvl,Inside,SawyerW,Norm,1Fam,2Story,6,5,2004,2004,Gable,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,798,798,Ex,798,842,1640,0,2,1,3,Gd,6,0,Attchd,2004.0,RFn,2,520,TA,138,45,0,12,2008,WD,Normal,173000
80,RL,85.0,9350,Reg,Lvl,Inside,NAmes,Norm,1Fam,SLvl,6,7,1964,1991,Hip,HdBoard,HdBoard,BrkFace,108.0,TA,TA,CBlock,Gd,TA,Gd,LwQ,270,ALQ,580,452,1302,Ex,1302,0,1302,0,2,0,3,Gd,7,0,Attchd,1964.0,RFn,1,309,TA,333,0,0,10,2007,CWD,Normal,158000
20,RL,70.0,8400,Reg,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,6,1957,1957,Gable,MetalSd,MetalSd,None,0.0,TA,Gd,CBlock,TA,TA,No,Rec,922,Unf,0,392,1314,TA,1314,0,1314,1,1,0,3,TA,5,0,Attchd,1957.0,RFn,1,294,TA,250,0,0,6,2010,WD,Normal,145000
60,RL,66.0,8738,IR1,Lvl,Inside,Gilbert,Norm,1Fam,2Story,7,5,1999,1999,Gable,VinylSd,VinylSd,BrkFace,302.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,975,975,Ex,1005,1286,2291,0,2,1,4,Gd,8,1,BuiltIn,1999.0,Fin,2,429,TA,192,0,0,2,2006,WD,Normal,230000
60,FV,64.0,8791,IR1,Lvl,Inside,Somerst,Norm,1Fam,2Story,6,5,2003,2003,Gable,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Rec,503,Unf,0,361,864,Ex,864,864,1728,0,2,1,3,Gd,7,0,Attchd,2003.0,RFn,2,673,TA,216,56,0,5,2008,WD,Normal,207500
20,RL,68.0,8814,Reg,Lvl,Inside,CollgCr,Norm,1Fam,1Story,7,5,2006,2006,Gable,VinylSd,VinylSd,Stone,180.0,Gd,TA,PConc,Gd,TA,No,GLQ,1334,Unf,0,270,1604,Ex,1604,0,1604,1,2,1,3,Gd,8,1,Attchd,2006.0,RFn,2,660,TA,123,110,0,3,2009,WD,Abnorml,220000
60,RL,80.0,12435,Reg,Lvl,Inside,CollgCr,Norm,1Fam,2Story,7,5,2001,2001,Gable,VinylSd,VinylSd,BrkFace,172.0,Gd,TA,PConc,Gd,TA,No,GLQ,361,Unf,0,602,963,Ex,963,829,1792,0,2,1,3,Gd,7,1,Attchd,2001.0,RFn,2,564,TA,0,96,0,5,2008,WD,Normal,231500
20,RM,70.0,12702,Reg,Lvl,Inside,OldTown,Norm,1Fam,1Story,5,5,1956,1956,Gable,BrkFace,BrkFace,None,0.0,TA,TA,PConc,TA,TA,No,Unf,0,Unf,0,0,0,Gd,882,0,882,0,1,0,2,TA,4,0,Detchd,1956.0,Unf,1,308,TA,0,45,0,12,2008,WD,Normal,97000
80,RL,120.0,19296,Reg,Lvl,Corner,NAmes,Artery,1Fam,SLvl,6,5,1962,1962,Gable,Wd Sdng,Wd Sdng,BrkFace,399.0,TA,TA,CBlock,TA,TA,Gd,Rec,672,ALQ,690,0,1362,TA,1382,0,1382,1,1,0,3,TA,6,1,Attchd,1991.0,Unf,2,884,TA,0,0,252,5,2009,WD,Normal,176000
60,RL,69.0,9588,IR1,Lvl,Inside,CollgCr,Norm,1Fam,2Story,8,5,2007,2007,Gable,CemntBd,CmentBd,Stone,270.0,Gd,TA,PConc,Ex,TA,No,Unf,0,Unf,0,1482,1482,Ex,1482,1092,2574,0,2,1,3,Ex,10,1,BuiltIn,2007.0,Fin,3,868,TA,0,148,0,11,2007,New,Partial,276000
80,RL,88.0,8471,IR1,Lvl,Corner,Sawyer,Norm,1Fam,SLvl,6,7,1977,1995,Gable,HdBoard,Plywood,BrkFace,46.0,TA,TA,CBlock,Gd,Gd,Av,ALQ,506,Unf,0,0,506,TA,1212,0,1212,1,1,0,3,TA,6,1,Attchd,1978.0,Unf,2,492,TA,292,12,0,7,2006,WD,Normal,151000
50,RM,50.0,5500,Reg,Lvl,Corner,OldTown,Norm,1Fam,1.5Fin,5,7,1929,2001,Gable,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,TA,No,LwQ,234,ALQ,692,0,926,TA,926,0,1316,1,1,0,3,TA,6,0,Detchd,1974.0,Unf,2,484,TA,0,0,0,4,2010,WD,Normal,130000
30,RM,30.0,5232,IR3,Bnk,Inside,OldTown,Artery,1Fam,1Story,5,5,1925,2004,Gable,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,Fa,TA,No,Unf,0,Unf,0,680,680,Gd,764,0,764,0,1,0,2,TA,4,0,Detchd,1965.0,Unf,2,504,TA,0,0,0,6,2008,WD,Normal,73000
20,RL,78.0,12090,IR1,Lvl,Inside,NWAmes,Norm,1Fam,1Story,6,6,1981,1981,Gable,MetalSd,MetalSd,BrkFace,210.0,TA,Gd,CBlock,Gd,TA,No,GLQ,588,LwQ,228,606,1422,TA,1422,0,1422,0,2,0,3,Gd,7,1,Attchd,1981.0,Fin,2,576,TA,276,0,0,6,2008,WD,Normal,175500
60,RL,70.0,11207,IR1,HLS,FR2,Gilbert,Norm,1Fam,2Story,6,5,1997,1997,Gable,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,Av,GLQ,714,Unf,0,88,802,Gd,802,709,1511,1,2,1,3,TA,8,1,Attchd,1997.0,Fin,2,413,TA,95,75,0,6,2006,WD,Normal,185000
75,RL,60.0,8400,Reg,Bnk,Inside,SWISU,Norm,1Fam,2.5Fin,5,8,1939,1997,Gable,Wd Sdng,Wd Sdng,None,0.0,TA,TA,PConc,TA,TA,No,LwQ,378,Unf,0,342,720,Ex,1052,720,2192,0,2,1,4,Gd,8,1,Detchd,1939.0,Unf,1,240,TA,262,24,0,7,2008,WD,Normal,179500
30,RM,71.0,6900,Reg,Lvl,Inside,IDOTRR,Norm,1Fam,1Story,5,6,1940,1955,Gable,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,403,Rec,125,212,740,Ex,778,0,778,0,1,0,2,TA,4,1,Detchd,1966.0,Fin,1,924,Ex,0,25,0,2,2008,WD,Normal,120500
20,RL,70.04995836802665,7917,IR1,Lvl,Corner,Edwards,Norm,1Fam,1Story,6,7,1976,1976,Hip,HdBoard,HdBoard,BrkFace,174.0,TA,Gd,CBlock,TA,Gd,No,BLQ,751,Unf,0,392,1143,TA,1113,0,1113,1,1,1,3,TA,6,1,Attchd,1987.0,RFn,1,504,TA,370,30,0,5,2007,WD,Normal,148000
60,FV,84.0,10728,Reg,Lvl,Inside,Somerst,Norm,1Fam,2Story,8,5,2006,2006,Gable,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Mn,Unf,0,Unf,0,1095,1095,Gd,1095,844,1939,0,2,1,3,Gd,8,1,Attchd,2006.0,RFn,3,1053,TA,192,51,0,8,2006,New,Partial,266000
20,RL,73.0,39104,IR1,Low,CulDSac,ClearCr,Norm,1Fam,1Story,7,7,1954,2005,Flat,Plywood,Plywood,None,0.0,TA,TA,CBlock,Gd,TA,Gd,LwQ,226,GLQ,1063,96,1385,Ex,1363,0,1363,1,1,0,2,TA,5,2,Attchd,1954.0,Unf,2,439,TA,81,0,0,4,2008,WD,Normal,241500
60,RL,92.0,11764,IR1,Lvl,CulDSac,NoRidge,Norm,1Fam,2Story,8,7,1999,2007,Gable,VinylSd,VinylSd,BrkFace,348.0,Gd,TA,PConc,Gd,TA,No,GLQ,524,Unf,0,628,1152,Ex,1164,1106,2270,0,2,1,4,Gd,9,1,Attchd,1999.0,Fin,3,671,TA,132,57,0,4,2010,WD,Normal,290000
20,RL,80.0,9600,Reg,Lvl,Inside,NAmes,Feedr,1Fam,1Story,6,6,1958,1988,Hip,Wd Sdng,Wd Sdng,BrkCmn,183.0,TA,TA,CBlock,TA,TA,No,Rec,620,LwQ,620,0,1240,Gd,1632,0,1632,1,2,0,3,TA,6,1,Attchd,1958.0,RFn,1,338,TA,289,0,0,4,2009,WD,Normal,139000
20,RL,76.0,8314,Reg,Lvl,Corner,Mitchel,Norm,1Fam,1Story,5,7,1982,1982,Gable,HdBoard,ImStucc,None,0.0,TA,TA,CBlock,TA,TA,Gd,ALQ,546,Unf,0,270,816,TA,816,0,816,0,1,0,2,TA,5,0,Attchd,1982.0,Unf,1,264,TA,168,0,0,6,2007,WD,Normal,124500
50,RL,55.0,7264,Reg,Lvl,Inside,BrkSide,Norm,1Fam,1.5Fin,7,7,1925,2007,Gable,Wd Sdng,Wd Sdng,None,0.0,Gd,Gd,BrkTil,TA,TA,No,Unf,0,Unf,0,952,952,Gd,952,596,1548,0,2,1,3,Ex,5,0,Detchd,1978.0,Unf,2,672,TA,74,0,0,10,2009,WD,Normal,205000
20,RL,129.0,9196,IR1,Lvl,Inside,Mitchel,Norm,1Fam,1Story,7,5,2003,2003,Gable,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Ex,TA,No,Unf,0,Unf,0,1560,1560,Ex,1560,0,1560,0,2,0,3,Gd,7,0,Attchd,2003.0,Fin,2,573,TA,100,150,0,4,2010,WD,Normal,201000
20,RL,140.0,19138,Reg,Lvl,Corner,Gilbert,Norm,1Fam,1Story,4,5,1951,1951,Gable,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,TA,TA,No,LwQ,120,Unf,0,744,864,Ex,864,0,864,0,1,0,2,TA,4,0,Detchd,1951.0,Unf,2,400,TA,0,0,0,6,2010,WD,Normal,141000
20,RL,107.0,14450,Reg,Lvl,Inside,NridgHt,Norm,1Fam,1Story,9,5,2006,2007,Gable,CemntBd,CmentBd,BrkFace,315.0,Ex,TA,PConc,Ex,TA,Gd,Unf,0,Unf,0,2121,2121,Ex,2121,0,2121,0,2,1,3,Ex,8,1,Attchd,2007.0,Fin,3,732,TA,124,98,0,5,2007,New,Partial,415298
60,RL,83.0,10005,Reg,Lvl,Inside,ClearCr,Norm,1Fam,2Story,7,5,1977,1977,Hip,Plywood,Plywood,BrkFace,299.0,TA,TA,CBlock,Gd,TA,No,BLQ,392,Unf,0,768,1160,Ex,1156,866,2022,0,2,1,4,TA,8,1,Attchd,1977.0,Fin,2,505,TA,288,117,0,3,2008,WD,Normal,192000
60,RL,82.0,11287,Reg,Lvl,Inside,SawyerW,Norm,1Fam,2Story,7,6,1989,1989,Gable,Plywood,Plywood,BrkFace,340.0,Gd,TA,CBlock,Gd,TA,Av,GLQ,421,Unf,0,386,807,Gd,1175,807,1982,0,2,1,3,Gd,7,1,Attchd,1989.0,Fin,2,575,TA,0,84,0,1,2007,WD,Normal,228500
20,FV,60.0,7200,Reg,Lvl,Inside,Somerst,Norm,1Fam,1Story,6,5,2006,2006,Gable,VinylSd,VinylSd,Stone,68.0,Gd,TA,PConc,Gd,TA,No,GLQ,905,Unf,0,357,1262,Gd,1262,0,1262,0,2,0,2,Gd,5,0,Attchd,2006.0,Fin,2,572,TA,0,120,0,5,2006,New,Partial,185000
120,RL,34.0,5063,Reg,Lvl,Inside,NridgHt,Norm,Twnhs,1Story,7,5,2007,2008,Gable,VinylSd,VinylSd,Stone,166.0,Gd,TA,PConc,Gd,TA,No,GLQ,904,Unf,0,410,1314,Ex,1314,0,1314,1,2,0,2,Gd,6,1,Attchd,2008.0,RFn,2,626,TA,172,62,0,4,2009,ConLw,Normal,207500
20,RL,74.0,9612,Reg,Lvl,Inside,Somerst,Feedr,1Fam,1Story,8,5,2008,2009,Gable,VinylSd,VinylSd,Stone,72.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1468,1468,Ex,1468,0,1468,0,2,0,3,Gd,6,1,Attchd,2008.0,Fin,3,898,TA,210,150,0,12,2009,New,Partial,244600
120,RL,50.0,8012,Reg,Lvl,Inside,SawyerW,Norm,TwnhsE,1Story,6,5,1992,1992,Gable,Plywood,ImStucc,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,430,Unf,0,1145,1575,Gd,1575,0,1575,1,2,0,2,Gd,5,0,Attchd,1992.0,RFn,2,529,TA,0,0,52,7,2007,WD,Normal,179200
160,FV,35.0,4251,IR1,Lvl,Inside,Somerst,Norm,TwnhsE,2Story,7,5,2006,2007,Gable,MetalSd,MetalSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,625,625,Ex,625,625,1250,0,2,1,2,Gd,5,0,Detchd,2006.0,RFn,2,528,TA,0,54,0,6,2007,New,Partial,164700
50,RL,77.0,9786,IR1,Bnk,Inside,NAmes,Norm,1Fam,1.5Fin,6,7,1962,1981,Gable,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,600,Unf,0,312,912,TA,1085,649,1734,0,1,1,3,Gd,7,1,Attchd,1962.0,RFn,2,440,TA,0,0,0,6,2006,WD,Normal,159000
20,RL,70.04995836802665,8125,IR1,Lvl,Corner,NAmes,Norm,1Fam,1Story,4,4,1971,1971,Gable,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,614,Unf,0,244,858,TA,858,0,858,0,1,0,3,TA,5,0,Attchd,2005.0,Unf,0,0,TA,0,0,0,6,2006,WD,Normal,88000
20,RL,70.04995836802665,9819,IR1,Lvl,Inside,Sawyer,Norm,1Fam,1Story,5,5,1967,1967,Gable,MetalSd,MetalSd,BrkFace,31.0,TA,Gd,CBlock,TA,TA,No,BLQ,450,Unf,0,432,882,TA,900,0,900,0,1,0,3,TA,5,0,Detchd,1970.0,Unf,1,280,TA,0,0,0,2,2010,WD,Normal,122000
70,RL,60.0,8730,Reg,Lvl,Inside,BrkSide,RRAn,1Fam,2Story,6,7,1915,2003,Gable,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,698,698,Ex,698,698,1396,0,1,0,3,TA,7,0,Detchd,2003.0,Unf,1,384,TA,0,0,0,7,2007,WD,Normal,153575
60,RL,120.0,15611,Reg,Lvl,Inside,CollgCr,Norm,1Fam,2Story,8,5,2006,2006,Gable,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,Unf,0,Unf,0,1079,1079,Ex,1079,840,1919,0,2,1,3,Gd,8,1,Attchd,2006.0,RFn,2,685,Gd,0,51,0,7,2006,New,Partial,233230
190,RL,55.0,5687,Reg,Bnk,Inside,SWISU,Norm,2fmCon,2Story,5,6,1912,2000,Gable,VinylSd,VinylSd,None,0.0,TA,Fa,PConc,TA,Fa,No,Rec,210,Unf,0,570,780,Ex,936,780,1716,1,2,0,6,Fa,9,0,Attchd,2005.0,Unf,0,0,TA,0,184,0,3,2008,WD,Normal,135900
50,RL,60.0,11409,Reg,Lvl,Inside,Edwards,Norm,1Fam,1.5Fin,5,4,1949,2008,Gable,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,LwQ,292,Unf,0,476,768,Gd,1148,568,1716,0,1,1,3,TA,8,1,Attchd,1949.0,Unf,1,281,TA,0,0,0,1,2009,WD,Normal,131000
60,RL,70.04995836802665,16659,IR1,Lvl,Corner,NWAmes,PosA,1Fam,2Story,7,7,1977,1994,Gable,Plywood,Plywood,BrkFace,34.0,TA,TA,CBlock,TA,TA,No,ALQ,795,Unf,0,0,795,Fa,1468,795,2263,1,2,1,3,Gd,9,1,Attchd,1977.0,Fin,2,539,TA,0,250,0,3,2006,WD,Normal,235000
20,RL,80.0,9600,Reg,Lvl,Inside,NAmes,Norm,1Fam,1Story,6,5,1953,1953,Hip,HdBoard,HdBoard,Stone,238.0,TA,TA,CBlock,TA,TA,No,GLQ,1285,Unf,0,131,1416,TA,1644,0,1644,1,1,0,3,TA,7,2,Attchd,1953.0,Fin,2,418,TA,110,0,0,10,2009,WD,Normal,167000
80,RL,37.0,7937,IR1,Lvl,CulDSac,Mitchel,Norm,1Fam,SLvl,6,6,1984,1984,Gable,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,Av,GLQ,819,Unf,0,184,1003,TA,1003,0,1003,1,1,0,3,TA,6,0,Detchd,1984.0,Unf,2,588,TA,120,0,0,3,2006,WD,Normal,142500
50,RM,75.0,13710,Reg,Lvl,Inside,IDOTRR,Norm,1Fam,1.5Fin,5,5,1950,1950,Gable,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,420,Unf,0,490,910,TA,910,648,1558,0,1,1,4,TA,6,0,Attchd,1950.0,Unf,1,282,TA,289,0,0,6,2007,WD,Normal,152000
60,FV,66.0,7399,IR1,Lvl,Inside,Somerst,Norm,1Fam,2Story,7,5,1997,1998,Hip,VinylSd,VinylSd,BrkFace,1600.0,Gd,TA,PConc,Gd,TA,No,BLQ,649,Unf,0,326,975,Ex,975,975,1950,0,2,1,3,Gd,7,1,Detchd,1997.0,RFn,2,576,TA,0,10,0,6,2007,WD,Normal,239000
60,RL,90.0,11700,Reg,Lvl,Inside,NWAmes,Norm,1Fam,2Story,6,6,1968,1968,Mansard,HdBoard,AsphShn,BrkFace,365.0,Gd,TA,CBlock,TA,TA,No,ALQ,384,Rec,175,143,702,Gd,1041,702,1743,0,1,2,3,TA,7,1,Attchd,1968.0,Unf,2,539,TA,224,0,0,6,2007,WD,Normal,175000
20,RL,80.0,14000,Reg,Lvl,Inside,Crawfor,Norm,1Fam,1Story,6,8,1950,2004,Gable,HdBoard,HdBoard,None,0.0,TA,Gd,CBlock,TA,TA,No,Unf,0,Unf,0,1092,1092,Ex,1152,0,1152,0,1,0,3,Gd,6,1,Attchd,1950.0,Unf,1,300,TA,0,36,0,8,2009,WD,Family,158500
190,RL,90.0,15750,Reg,Lvl,Corner,Crawfor,Norm,2fmCon,1Story,5,5,1953,1953,Hip,MetalSd,MetalSd,BrkFace,56.0,TA,TA,CBlock,TA,TA,Mn,BLQ,841,Unf,0,324,1165,TA,1336,0,1336,1,1,0,2,TA,5,2,Attchd,1953.0,Unf,1,375,TA,0,0,0,6,2006,WD,Normal,157000
60,RL,66.0,16226,IR3,Lvl,Inside,CollgCr,Norm,1Fam,2Story,8,5,1998,1999,Gable,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,281,Unf,0,747,1028,Ex,1210,1242,2452,0,2,1,4,Gd,9,1,BuiltIn,1998.0,Fin,2,683,TA,208,50,0,5,2007,WD,Normal,267000
20,RL,118.0,13704,IR1,Lvl,Corner,CollgCr,Norm,1Fam,1Story,7,5,2001,2002,Gable,VinylSd,VinylSd,BrkFace,150.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1541,1541,Ex,1541,0,1541,0,2,0,3,Gd,6,1,Attchd,2001.0,RFn,3,843,TA,468,81,0,1,2006,WD,Normal,205000
20,RL,70.0,9800,Reg,Lvl,Corner,CollgCr,Norm,1Fam,1Story,5,7,1972,1972,Gable,VinylSd,VinylSd,None,0.0,TA,TA,PConc,TA,TA,No,ALQ,894,Unf,0,0,894,TA,894,0,894,1,1,0,3,TA,5,0,Attchd,1975.0,Unf,2,552,TA,256,0,0,7,2006,WD,Abnorml,149900
75,RM,87.0,18386,Reg,Lvl,Inside,OldTown,Norm,1Fam,2.5Fin,7,9,1880,2002,Gable,CemntBd,CmentBd,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,1470,1470,Ex,1675,1818,3493,0,3,0,3,Gd,10,1,Attchd,2003.0,Unf,3,870,TA,302,0,0,5,2008,WD,Normal,295000
20,RL,80.0,10386,Reg,Lvl,Inside,CollgCr,Norm,1Fam,1Story,8,5,2004,2005,Gable,CemntBd,CmentBd,Stone,246.0,Gd,TA,PConc,Gd,TA,No,GLQ,1464,Unf,0,536,2000,Ex,2000,0,2000,1,2,0,3,Gd,8,0,Attchd,2004.0,Fin,3,888,TA,168,0,0,7,2007,WD,Normal,305900
60,RL,116.0,13474,Reg,Lvl,Inside,SawyerW,Feedr,1Fam,2Story,7,5,1990,1991,Gable,HdBoard,Plywood,BrkFace,246.0,Gd,TA,CBlock,Gd,TA,No,ALQ,700,Unf,0,0,700,Gd,1122,1121,2243,1,2,1,4,Gd,8,1,Attchd,1990.0,RFn,3,746,TA,127,44,224,6,2007,WD,Normal,225000
50,RM,70.04995836802665,7920,IR1,Lvl,Inside,IDOTRR,Artery,1Fam,1.5Fin,6,7,1920,1950,Gable,MetalSd,MetalSd,None,0.0,TA,Fa,CBlock,TA,TA,No,Unf,0,Unf,0,319,319,TA,1035,371,1406,0,1,0,3,Fa,6,0,Attchd,2005.0,Unf,0,0,TA,0,144,0,3,2008,WD,Normal,89500
30,RL,70.04995836802665,12342,IR1,Lvl,Inside,Edwards,Norm,1Fam,1Story,4,5,1940,1950,Gable,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,262,Unf,0,599,861,Ex,861,0,861,0,1,0,1,TA,4,0,Detchd,1961.0,Unf,2,539,TA,158,0,0,3,2009,WD,Normal,82500
20,RL,90.0,12378,IR1,Lvl,Inside,NridgHt,Norm,1Fam,1Story,9,5,2003,2004,Gable,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Ex,TA,Gd,GLQ,1274,Unf,0,622,1896,Ex,1944,0,1944,1,2,0,3,Ex,8,3,Attchd,2003.0,Fin,3,708,TA,208,175,0,11,2006,WD,Normal,360000
60,RL,70.04995836802665,7685,IR1,Lvl,Inside,Gilbert,Norm,1Fam,2Story,6,5,1993,1994,Gable,HdBoard,HdBoard,BrkFace,112.0,TA,TA,PConc,Gd,TA,No,ALQ,518,Unf,0,179,697,Gd,697,804,1501,0,2,1,3,Gd,6,1,Attchd,1993.0,Fin,2,420,TA,190,63,0,5,2006,WD,Normal,165600
20,RL,50.0,8000,Reg,Lvl,Inside,NAmes,Norm,1Fam,1Story,6,6,1948,2002,Gable,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,No,ALQ,680,Unf,0,292,972,Ex,972,0,972,1,1,0,2,TA,5,1,Detchd,1948.0,Unf,1,240,TA,0,0,0,5,2009,WD,Normal,132000
190,RM,65.0,7800,Reg,Lvl,Inside,OldTown,Artery,2fmCon,1.5Fin,5,7,1939,1950,Gable,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,Gd,TA,Mn,Rec,507,Unf,0,286,793,TA,793,325,1118,1,1,0,3,TA,5,1,Detchd,1939.0,Unf,2,410,TA,0,0,0,5,2006,WD,Normal,119900
20,RL,150.0,215245,IR3,Low,Inside,Timber,Norm,1Fam,1Story,7,5,1965,1965,Hip,BrkFace,BrkFace,None,0.0,TA,TA,CBlock,Gd,TA,Gd,ALQ,1236,Rec,820,80,2136,TA,2036,0,2036,2,2,0,3,TA,8,2,Attchd,1965.0,RFn,2,513,TA,0,0,0,6,2009,WD,Normal,375000
